id,item_name,category,price,item_count
961472,Uganda 1000g,Kaffeebohnen,29.900000000000002,3
1816109,Falafist + /// + Dippers + Aioli-Limette + Kräuterquark,No Need For Meat + AF Extras + Beilagen + Dips + Dips,15.9,1
1587365,Marinated Mushroom,SIDES,1.5,1
396851,Carpacchio,Jahreswechsel,13.5,6
287292,"Alster vom Fass 0,3",Bier,2.1,8
1677146,Malloreddus al sugo d’agnello,Pasta,15.9,20
9620,All Mash 25kg Hühnerfutter,Tiernahrung,17.0,2
658379,Rum SHOT,Alcolici,6.0,2
271276,STEINBEISSER GETRÜFFELTE PAK CHOI,TAGESKARTE_,23.5,1
1897312,"Adagio 0,2 l",Wein/Sekt/Gin,6.9,1
642368,"Bionade Holunder 0,33l",AFG,2.9588235294117644,51
1037910,Gin tonic,Aperitif-Drinks,16.0,13
57412,Tee Ronnefeldt,Cafeteria,2.8000000000000003,6
851810,NY Classic,Kuchen,3.691935483870974,186
1252813,Shisha 10€ + - + Cold Lime + -,Shishas + AF Shisha 10€ + AF Shisha 10€ + AF Shisha 10€,10.0,1
206240,Arabesk Power,COKTAIL ALKOHOLFREIE FRISCHE SÄFTE LIVEMUSIK,8.6,1
1461361,Castor,Weißwein Flasche,78.0,3
1821118,Espresso macciato,Café & Co.,2.0,15
1238209,Love Cheese & Beef Burger + Ohne Zwiebeln,Burger + Abfrage Ohne,9.9,1
1532626,Penne Amatriciana,Nudeln,12.5,26
1340314,82 Dornfelder Mandelhang Lagenw. 0.75 AH,Rosé- & Rotwein AH,6.703389830508475,59
996919,Mineral süss offen 5 dl,Mineral,5.480869565217391,115
1172309,Cremant,Schäumchen,4.8999999999999915,105
130031,Cheeseburger + ohne Tomaten + Haussauce + Süßkartoffelpommes*,Burger + AF Burger_ + AF Burger_ + AF Burger_,13.8,1
1883818,Grünkohlplatte + Schmor + Kassler + Bregen,Herbst / Winter + AfBeilage + AfBeilage + AfBeilage,14.700000000000001,6
655430,Penne al Gorgonzola,PASTA,7.8999999999999995,7
728215,2 Kugeln + Ice Cafi + mit Rahm,Kugeleis + Aromen Abfrage + Extra Abfrage,8.6,1
1482910,TASSE KAFFEE,Heissgetränke,2.2,4
1113014,Cappuccino To Go,To Go Theke,2.6682352941176486,34
1721675,Pisco Sour.,Favorite Drinks Menü,15.0,135
1420205,Balvenie 12 Y Whisky,Edelbrände / Whisky,14.0,3
196806,Sangria Vino 1l,SANGRIA,15.0,2
389699,"Franken Silvaner 0,1l",Weißweine,2.4,30
1201418,Rainbow Thun Black + 4 Stk Rainbow + HIER ESSEN,Sushi + Bestell Stückzahl + Art,11.75,4
1836047,Zimtschnecken Vegan,Speisen,3.282509293680325,538
